,id,level,color_class,position,chunk_no,word,lemma,pre_verb,morph,colspan,wordlenth,aux_inf,subminp,maxp,endposition
55,55,10,carmin_back,35,5,amata,am,,imp. [1] ac. pl. 2,5,5,,5,10,40
56,56,11,yellow_back,31,5,āma,āma,,iic.,3,3,,1,4,34
57,57,11,cyan_back,34,5,nāma,nāman,,n. sg. acc.,4,4,,4,8,38
58,58,11,cyan_back,34,5,nāma,nāman,,n. sg. nom.,4,4,,4,8,38
59,59,12,carmin_back,31,5,ama,am,,imp. [1] ac. sg. 2,3,3,,1,4,34
60,60,12,mauve_back,34,5,nāma,nāma,,prep.,4,4,,4,8,38
61,61,13,carmin_back,31,5,āma,am,,pft. ac. pl. 2,3,3,,1,4,34
62,62,13,carmin_back,31,5,āma,am,,pft. ac. sg. 3,3,3,,1,4,34
63,63,13,carmin_back,31,5,āma,am,,pft. ac. sg. 1,3,3,,1,4,34
64,64,13,deep_sky_back,34,5,nā,nṛ,,m. sg. nom.,2,2,,4,6,36
65,65,14,yellow_back,31,5,a,a,,iic.,1,1,,1,2,32
66,66,14,yellow_back,32,5,mana,manas,,iic.,4,4,,2,6,36
67,67,15,yellow_back,32,5,manā,manā,,iic.,4,4,,2,6,36
68,68,16,deep_sky_back,32,5,manā,manā,,f. sg. nom.,4,4,,2,6,36
69,69,17,deep_sky_back,33,5,anāma,anāman,,n. sg. acc.,5,5,,3,8,38
70,70,17,deep_sky_back,33,5,anāma,anāman,,n. sg. nom.,5,5,,3,8,38
71,71,18,carmin_back,33,5,anāma,an,,imp. [2] ac. pl. 1,5,5, sence of lemma = 2,3,8,38
72,72,19,yellow_back,33,5,an,an,,iic.,2,2, sence of lemma = 1,3,5,35
73,73,19,carmin_back,35,5,āmata,am,,impft. [1] ac. pl. 2,5,5,,5,10,40
74,74,20,yellow_back,33,5,a,a,,iic.,1,1,,3,4,34
75,75,20,mauve_back,34,5,na,na,,part.,2,2,,4,6,36
76,76,21,yellow_back,35,5,āma,āma,,iic.,3,3,,5,8,38
77,77,22,carmin_back,35,5,ama,am,,imp. [1] ac. sg. 2,3,3,,5,8,38
78,78,23,carmin_back,35,5,āma,am,,pft. ac. pl. 2,3,3,,5,8,38
79,79,23,carmin_back,35,5,āma,am,,pft. ac. sg. 3,3,3,,5,8,38
80,80,23,carmin_back,35,5,āma,am,,pft. ac. sg. 1,3,3,,5,8,38
81,81,24,yellow_back,35,5,a,a,,iic.,1,1,,5,6,36
